tabk(0)=18991.817240+(5758.358556i);    // Vec_kaLpi=0.050000
tabk(1)=19825.203637+(5801.483482i);    // Vec_kaLpi=0.052381
tabk(2)=20699.290668+(5845.658469i);    // Vec_kaLpi=0.054875
tabk(3)=21615.897793+(5891.074868i);    // Vec_kaLpi=0.057488
tabk(4)=22576.910158+(5937.900663i);    // Vec_kaLpi=0.060225
tabk(5)=23584.303103+(5986.311465i);    // Vec_kaLpi=0.063093
tabk(6)=24640.133444+(6036.482679i);    // Vec_kaLpi=0.066097
tabk(7)=25746.541193+(6088.562335i);    // Vec_kaLpi=0.069244
tabk(8)=26905.776473+(6142.721378i);    // Vec_kaLpi=0.072541
tabk(9)=28120.194506+(6199.128095i);    // Vec_kaLpi=0.075996
tabk(10)=29392.241408+(6257.914033i);    // Vec_kaLpi=0.079614
tabk(11)=30724.489655+(6319.229980i);    // Vec_kaLpi=0.083405
tabk(12)=32119.640784+(6383.231513i);    // Vec_kaLpi=0.087376
tabk(13)=33580.518988+(6450.053676i);    // Vec_kaLpi=0.091537
tabk(14)=35110.105811+(6519.867176i);    // Vec_kaLpi=0.095896
tabk(15)=36711.468838+(6592.761443i);    // Vec_kaLpi=0.100462
tabk(16)=38387.903201+(6668.916995i);    // Vec_kaLpi=0.105245
tabk(17)=40142.784766+(6748.428623i);    // Vec_kaLpi=0.110257
tabk(18)=41979.733006+(6831.475219i);    // Vec_kaLpi=0.115506
tabk(19)=43902.465608+(6918.154403i);    // Vec_kaLpi=0.121006
tabk(20)=45914.967629+(7008.650775i);    // Vec_kaLpi=0.126768
tabk(21)=48021.333165+(7103.057176i);    // Vec_kaLpi=0.132804
tabk(22)=50225.929364+(7201.551811i);    // Vec_kaLpi=0.139128
tabk(23)=52533.295838+(7304.265549i);    // Vec_kaLpi=0.145753
tabk(24)=54948.181409+(7411.323048i);    // Vec_kaLpi=0.152693
tabk(25)=57475.689651+(7522.944658i);    // Vec_kaLpi=0.159963
tabk(26)=60120.952563+(7639.161205i);    // Vec_kaLpi=0.167580
tabk(27)=62889.632652+(7760.249200i);    // Vec_kaLpi=0.175560
tabk(28)=65787.495277+(7886.312522i);    // Vec_kaLpi=0.183919
tabk(29)=68820.650601+(8017.533487i);    // Vec_kaLpi=0.192676
tabk(30)=71995.561742+(8154.096702i);    // Vec_kaLpi=0.201851
tabk(31)=75319.017997+(8296.214914i);    // Vec_kaLpi=0.211462
tabk(32)=78798.100689+(8444.046939i);    // Vec_kaLpi=0.221531
tabk(33)=82440.371856+(8597.847766i);    // Vec_kaLpi=0.232079
tabk(34)=86253.856052+(8757.941366i);    // Vec_kaLpi=0.243130
tabk(35)=90246.776311+(8924.534471i);    // Vec_kaLpi=0.254707
tabk(36)=94428.145343+(9098.081382i);    // Vec_kaLpi=0.266835
tabk(37)=98807.168784+(9278.926720i);    // Vec_kaLpi=0.279541
tabk(38)=103393.871290+(9467.623701i);    // Vec_kaLpi=0.292851
tabk(39)=108198.737950+(9664.772569i);    // Vec_kaLpi=0.306795
tabk(40)=113232.887460+(9871.059636i);    // Vec_kaLpi=0.321404
tabk(41)=118508.138280+(10087.372081i);    // Vec_kaLpi=0.336708
tabk(42)=124037.086120+(10314.738318i);    // Vec_kaLpi=0.352740
tabk(43)=129833.203810+(10554.485432i);    // Vec_kaLpi=0.369536
tabk(44)=135910.919010+(10808.198783i);    // Vec_kaLpi=0.387132
tabk(45)=142285.778790+(11077.876888i);    // Vec_kaLpi=0.405565
tabk(46)=148974.554410+(11366.014909i);    // Vec_kaLpi=0.424877
tabk(47)=155995.646010+(11675.879077i);    // Vec_kaLpi=0.445108
tabk(48)=163369.025490+(12011.544069i);    // Vec_kaLpi=0.466302
tabk(49)=171117.281650+(12378.654936i);    // Vec_kaLpi=0.488505
tabk(50)=179265.435290+(12784.597351i);    // Vec_kaLpi=0.511766
tabk(51)=187842.684720+(13239.939029i);    // Vec_kaLpi=0.536134
tabk(52)=196883.004230+(13759.807044i);    // Vec_kaLpi=0.561662
tabk(53)=206427.375560+(14366.918642i);    // Vec_kaLpi=0.588406
tabk(54)=216526.816020+(15097.195634i);    // Vec_kaLpi=0.616423
tabk(55)=227246.583510+(16010.907271i);    // Vec_kaLpi=0.645775
tabk(56)=238671.456840+(17216.812393i);    // Vec_kaLpi=0.676524
tabk(57)=250904.368050+(18929.506180i);    // Vec_kaLpi=0.708737
tabk(58)=264007.863430+(21611.044735i);    // Vec_kaLpi=0.742484
tabk(59)=277603.647280+(26222.902549i);    // Vec_kaLpi=0.777838
tabk(60)=289581.440400+(33484.854322i);    // Vec_kaLpi=0.814875
tabk(61)=297635.680330+(40874.418785i);    // Vec_kaLpi=0.853676
tabk(62)=302984.967730+(45477.240421i);    // Vec_kaLpi=0.894325
tabk(63)=307378.302460+(46303.515653i);    // Vec_kaLpi=0.936909
tabk(64)=312032.305670+(43012.605362i);    // Vec_kaLpi=0.981520
tabk(65)=319023.301000+(33586.209144i);    // Vec_kaLpi=1.028256
tabk(66)=337281.402280+(18819.811079i);    // Vec_kaLpi=1.077217
tabk(67)=362850.680510+(14984.679544i);    // Vec_kaLpi=1.128510
tabk(68)=385548.366410+(14941.027048i);    // Vec_kaLpi=1.182245
tabk(69)=407468.198220+(15538.944561i);    // Vec_kaLpi=1.238538
tabk(70)=429550.748060+(16369.406070i);    // Vec_kaLpi=1.297512
tabk(71)=452248.413540+(17345.871626i);    // Vec_kaLpi=1.359294
tabk(72)=475849.465830+(18472.266997i);    // Vec_kaLpi=1.424018
tabk(73)=500595.381150+(19791.401389i);    // Vec_kaLpi=1.491824
tabk(74)=526748.909050+(21390.191315i);    // Vec_kaLpi=1.562858
tabk(75)=554691.654410+(23446.854654i);    // Vec_kaLpi=1.637275
tabk(76)=585070.122340+(26230.531020i);    // Vec_kaLpi=1.715235
tabk(77)=618429.486710+(32843.493057i);    // Vec_kaLpi=1.796907
tabk(78)=650354.053330+(42807.937848i);    // Vec_kaLpi=1.882468
tabk(79)=686426.255480+(59067.983143i);    // Vec_kaLpi=1.972103
tabk(80)=699635.736910+(95496.941030i);    // Vec_kaLpi=2.066006
tabk(81)=694733.159940+(77456.903554i);    // Vec_kaLpi=2.164381
tabk(82)=742665.838180+(59447.993713i);    // Vec_kaLpi=2.267439
tabk(83)=792932.438250+(86394.953019i);    // Vec_kaLpi=2.375405
tabk(84)=794800.412800+(112626.937550i);    // Vec_kaLpi=2.488512
