tabk(0)=497333.058760+(841634.243240i);    // Vec_kaLpi=0.050000
tabk(1)=-126870.847970+(1321146.270900i);    // Vec_kaLpi=0.052381
tabk(2)=-348223.463050+(824079.979540i);    // Vec_kaLpi=0.054875
tabk(3)=518585.195850+(848139.366400i);    // Vec_kaLpi=0.057488
tabk(4)=504245.414140+(841179.373780i);    // Vec_kaLpi=0.060225
tabk(5)=500864.851830+(833923.008580i);    // Vec_kaLpi=0.063093
tabk(6)=500813.052890+(827902.655490i);    // Vec_kaLpi=0.066097
tabk(7)=506940.333040+(829483.592630i);    // Vec_kaLpi=0.069244
tabk(8)=507131.452270+(824198.842500i);    // Vec_kaLpi=0.072541
tabk(9)=511128.210770+(826847.289820i);    // Vec_kaLpi=0.075996
tabk(10)=514044.424000+(828540.370760i);    // Vec_kaLpi=0.079614
tabk(11)=515353.407850+(822680.717950i);    // Vec_kaLpi=0.083405
tabk(12)=518088.427000+(825077.418270i);    // Vec_kaLpi=0.087376
tabk(13)=520380.607410+(826833.049170i);    // Vec_kaLpi=0.091537
tabk(14)=522305.957250+(828103.405860i);    // Vec_kaLpi=0.095896
tabk(15)=525884.681410+(821971.732420i);    // Vec_kaLpi=0.100462
tabk(16)=527937.381210+(823817.446010i);    // Vec_kaLpi=0.105245
tabk(17)=529970.044580+(825014.166380i);    // Vec_kaLpi=0.110257
tabk(18)=532228.839750+(825715.746930i);    // Vec_kaLpi=0.115506
tabk(19)=534983.044650+(826081.081980i);    // Vec_kaLpi=0.121006
tabk(20)=538449.722870+(826163.490880i);    // Vec_kaLpi=0.126768
tabk(21)=542819.026270+(825841.423330i);    // Vec_kaLpi=0.132804
tabk(22)=548176.809340+(824777.181090i);    // Vec_kaLpi=0.139128
tabk(23)=543682.717870+(830136.405590i);    // Vec_kaLpi=0.145753
tabk(24)=549281.498950+(827308.494040i);    // Vec_kaLpi=0.152693
tabk(25)=544968.991860+(829147.744490i);    // Vec_kaLpi=0.159963
tabk(26)=549248.363620+(822446.044300i);    // Vec_kaLpi=0.167580
tabk(27)=543366.415270+(822088.605760i);    // Vec_kaLpi=0.175560
tabk(28)=1304680.771400+(2159992.386800i);    // Vec_kaLpi=0.183919
tabk(29)=540833.758630+(827258.993280i);    // Vec_kaLpi=0.192676
tabk(30)=71904.694091+(8095.995010i);    // Vec_kaLpi=0.201851
tabk(31)=1876695.842300+(2527960.938400i);    // Vec_kaLpi=0.211462
tabk(32)=-933364.856230+(1931586.120100i);    // Vec_kaLpi=0.221531
tabk(33)=556847.898060+(834811.557680i);    // Vec_kaLpi=0.232079
tabk(34)=558713.776760+(832563.758230i);    // Vec_kaLpi=0.243130
tabk(35)=560779.967940+(830109.038670i);    // Vec_kaLpi=0.254707
tabk(36)=563064.948960+(827413.758220i);    // Vec_kaLpi=0.266835
tabk(37)=565657.889320+(824445.510270i);    // Vec_kaLpi=0.279541
tabk(38)=568579.941770+(821202.643870i);    // Vec_kaLpi=0.292851
tabk(39)=571906.976980+(817682.639920i);    // Vec_kaLpi=0.306795
tabk(40)=562550.158520+(822879.498360i);    // Vec_kaLpi=0.321404
tabk(41)=564413.228230+(819160.698670i);    // Vec_kaLpi=0.336708
tabk(42)=564993.770550+(815264.791850i);    // Vec_kaLpi=0.352740
tabk(43)=563566.921440+(810933.042170i);    // Vec_kaLpi=0.369536
tabk(44)=559926.243220+(805602.078580i);    // Vec_kaLpi=0.387132
tabk(45)=564576.970700+(794076.743890i);    // Vec_kaLpi=0.405565
tabk(46)=563555.139730+(787088.165060i);    // Vec_kaLpi=0.424877
tabk(47)=570633.313730+(780182.254800i);    // Vec_kaLpi=0.445108
tabk(48)=580823.339520+(793273.099430i);    // Vec_kaLpi=0.466302
tabk(49)=170874.569370+(12316.090209i);    // Vec_kaLpi=0.488505
tabk(50)=179029.297520+(12707.520708i);    // Vec_kaLpi=0.511766
